"","B intermediate","CD14 Mono","CD4 Naive","CD4 Proliferating","CD4 TCM","CD8 Naive","CD8 Proliferating","CD8 TCM","CD8 TEM","dnT","gdT","HSPC","MAIT","NK","NK Proliferating","Plasmablast","Treg"
"0",0,0,25,0,35,2320,0,19,2,2,0,0,0,0,0,0,1
"1",0,0,0,0,2,16,0,94,372,11,0,0,0,0,0,0,1
"2",9,4,0,0,23,368,2,9,20,0,0,2,0,0,0,0,0
"3",0,0,0,0,0,4,3,3,408,0,4,0,2,2,0,0,0
"4",0,0,0,83,12,27,109,0,16,1,0,0,0,0,159,1,0
"5",0,0,2,0,2,238,0,7,0,1,0,0,0,0,0,0,0
"6",0,0,0,0,60,8,1,15,14,0,33,0,114,1,0,0,0
"7",0,0,2,0,2,223,0,3,1,0,0,0,0,0,0,0,0
"8",0,0,2,0,4,217,0,5,3,0,0,0,0,0,0,0,0
