"mnn_clusters_rna","Sample_Subfolder","n_cells","pct_of_sample"
"0","CP018_2m_A",472,50.48
"1","CP018_2m_A",92,9.84
"2","CP018_2m_A",31,3.32
"3","CP018_2m_A",35,3.74
"4","CP018_2m_A",88,9.41
"5","CP018_2m_A",50,5.35
"6","CP018_2m_A",70,7.49
"7","CP018_2m_A",38,4.06
"8","CP018_2m_A",59,6.31
"0","CP018_2m_B",1310,64.22
"1","CP018_2m_B",139,6.81
"2","CP018_2m_B",29,1.42
"3","CP018_2m_B",47,2.3
"4","CP018_2m_B",88,4.31
"5","CP018_2m_B",123,6.03
"6","CP018_2m_B",83,4.07
"7","CP018_2m_B",99,4.85
"8","CP018_2m_B",122,5.98
"0","CP018_90m_A",507,32.65
"1","CP018_90m_A",203,13.07
"2","CP018_90m_A",214,13.78
"3","CP018_90m_A",237,15.26
"4","CP018_90m_A",137,8.82
"5","CP018_90m_A",60,3.86
"6","CP018_90m_A",69,4.44
"7","CP018_90m_A",83,5.34
"8","CP018_90m_A",43,2.77
"0","CP018_90m_B",115,19.13
"1","CP018_90m_B",62,10.32
"2","CP018_90m_B",163,27.12
"3","CP018_90m_B",107,17.8
"4","CP018_90m_B",95,15.81
"5","CP018_90m_B",17,2.83
"6","CP018_90m_B",24,3.99
"7","CP018_90m_B",11,1.83
"8","CP018_90m_B",7,1.16
