Manual_Annotation,cor_percent,p_percent,n_percent,cor_counts,p_counts,n_counts
27: GZMK+ CD8 T cell,0.7000000000000001,0.01647097883651441,11,0.6272727272727273,0.03884525362035334,11
17: NK cell_2,0.6454545454545454,0.03196279932801748,11,0.509090909090909,0.10973723224165649,11
34: APC,0.5818181818181819,0.060419896215648354,11,0.6164447827192512,0.0433999032432306,11
9: TRDV1+ CTL-like,0.49090909090909096,0.12520440713849532,11,0.33713071520787186,0.3106523577454196,11
33: pDC,0.406060606060606,0.24428229408662663,10,0.3454545454545454,0.32822651147136733,10
29: DN T cell_5,0.38181818181818183,0.24655957577897017,11,0.11818181818181818,0.7292847795197801,11
13: Transitional B cell,-0.36363636363636365,0.27163754099382226,11,-0.3090909090909091,0.3550284397015071,11
18: DN T cell_1,-0.3818181818181818,0.2762553333854361,10,-0.39634883165741774,0.2568305593075837,10
1: Memory CD8 T cell,0.3090909090909091,0.3550284397015071,11,0.18181818181818182,0.5926152128455002,11
5: Naïve CD4 T cell_2,0.3,0.37008312228206763,11,0.1,0.7698749998921367,11
3: IL2RB+ NK cell,0.2727272727272727,0.41714143714253127,11,0.34545454545454546,0.2980892209030389,11
32: Plasmablast,0.2727272727272727,0.41714143714253127,11,0.21004785188952263,0.5353170584934903,11
12: DNAM1+ CD4 T cell,-0.23636363636363636,0.48409116222539683,11,-0.3052399718773975,0.3613663755980028,11
28: DN T cell_4,-0.23636363636363636,0.48409116222539683,11,-0.34545454545454546,0.2980892209030389,11
20: T reg,-0.21818181818181817,0.519248247554982,11,-0.23636363636363636,0.48409116222539683,11
4: IgD+IgM+ B cell,-0.20909090909090908,0.5372209352113234,11,-0.3,0.37008312228206786,11
31: B cell,0.2,0.5554454421055857,11,0.14155398714293918,0.6780220490365623,11
30: DN T cell_6,0.18181818181818182,0.5926152128455002,11,0.12785521419362247,0.7079341542451165,11
8: CTL-like,0.16363636363636364,0.6306852146425357,11,0.2818181818181818,0.4011448979604788,11
11: Naïve B cell,-0.16363636363636364,0.6306852146425359,11,-0.2545454545454545,0.45003657688882903,11
16: Gamma Delta 1 T cells,-0.13636363636363635,0.6893090205863622,11,-0.06363636363636363,0.8525390725425216,11
10: Memory CD4 T helper,-0.12727272727272726,0.7092146257733051,11,-0.22727272727272727,0.501535667604937,11
21: Gamma Delta 2 T cells,-0.12727272727272726,0.7092146257733051,11,-0.15454545454545454,0.65003396549758,11
25: CD56bright NK,-0.11818181818181818,0.7292847795197801,11,-0.07744894808829487,0.8209388345227749,11
7: Memory CD4 T cell,-0.1,0.7698749998921365,11,-0.045454545454545456,0.8944269969053027,11
15: NK cell_1,0.1,0.7698749998921367,11,0.11818181818181818,0.7292847795197801,11
24: CD14lo CD16lo Monocyte,-0.09090909090909091,0.7903727377532905,11,-0.0956722299914231,0.7796173620638182,11
23: DN T cell_2,-0.08181818181818182,0.8109903943000459,11,-0.15454545454545454,0.65003396549758,11
26: DN T cell_3,-0.08181818181818182,0.8109903943000459,11,0.004555820475782052,0.9893933525406056,11
2: Naïve CD4 T cell_1,0.07272727272727274,0.831716405381337,11,-0.09090909090909091,0.7903727377532905,11
0: CD4 T cell,-0.06363636363636363,0.8525390725425216,11,0.06363636363636363,0.8525390725425219,11
22: CD69+ B cell,-0.06363636363636363,0.8525390725425216,11,-0.08181818181818182,0.8109903943000459,11
19: CD14+ CD16hi Monocyte,-0.05454545454545454,0.8734465775233152,11,0.06363636363636363,0.8525390725425219,11
14: CD14hi CD16+ Monocyte,0.045454545454545456,0.8944269969053027,11,0.03636363636363637,0.9154683168905347,11
6: Naïve CD8 T cell,0.009090909090909092,0.9788365001441937,11,0.07744894808829487,0.8209388345227752,11
35: TNF+ B cell,NA,NA,1,NA,NA,1
