"mnn_clusters_rna","n_cells","pct_expanded","pct_with_TCR","mean_stemness","mean_cytotox","mean_exhaust","mean_cycling","pct_S_G2M"
"0",2404,0,96.5,0.319,-0.308,-0.082,-0.066,28.7
"8",231,0,93.9,0.302,-0.301,-0.079,-0.095,27.7
"7",231,0,92.6,0.291,-0.361,-0.081,-0.103,26.4
"5",250,0,96.4,0.287,-0.349,-0.094,-0.095,28.8
"2",437,34.6,91.5,0.1,-0.459,0.14,-0.09,19.2
"1",496,5.2,85.1,-0.291,-0.281,0.012,-0.102,29.8
"6",246,1.6,71.1,-0.431,0.546,-0.018,-0.08,29.3
"4",408,31.6,80.9,-0.549,0.345,0.296,0.896,97.3
"3",426,24.6,76.3,-0.818,1.339,0.136,-0.082,42
