"Cluster","Pre.ART","Suppressed","Unsuppressed","Total"
"Naïve CD8",0.606908364259206,0.248786754210677,0.144304881530117,7006
"Naïve CD8 2",0.918492103922568,0.0272542027508915,0.054253693326541,3926
"Naïve CD8 3",0.230769230769231,0.486769230769231,0.282461538461538,1625
"Transitional Tem CD8",0.222384784198976,0.510607168983175,0.267008046817849,1367
"TEM CD8",0.286800422386484,0.304751847940866,0.40844772967265,4735
"TEMRA CD8",0.325435998683778,0.386311286607437,0.288252714708786,3039
"KIR+ innate-like CD8",0.0946666666666667,0.681333333333333,0.224,750
"MAIT-like Trm",0.26056338028169,0.352112676056338,0.387323943661972,142
"γδ1 T cell",0.11373092926491,0.255201109570042,0.631067961165049,2884
"Naïve γδ1 T cell",0.359139784946237,0.406451612903226,0.234408602150538,465
"γδ2 T cell",0.507352941176471,0.180147058823529,0.3125,272
