gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
MTRNR2L12,Overlap,1.69146276479797e-11,0.011523624214841,-7.70076065569034,-7.12678816434134,TRUE,TRUE
RPS10,Overlap,4.2636470436756493e-11,6.05106755896662e-50,2.90337414186425,2.73372069395164,TRUE,TRUE
H3F3B,Overlap,1.1175521542303301e-10,4.42193717365239e-48,-8.19837057931329,-1.60983511390849,TRUE,TRUE
H3-3B,Overlap,1.9187006879675903e-9,4.75396333103239e-52,4.87401707519222,4.35298569878501,TRUE,TRUE
H3-3A,Overlap,2.85828849242824e-8,5.65268099541717e-38,4.14617647851826,3.8352292385346902,TRUE,TRUE
LINC01578,Overlap,4.76598415497521e-8,5.2039031247497395e-34,-6.50134399958514,-1.37243102967727,TRUE,TRUE
MIF,Overlap,9.24713105558106e-8,6.287048335077599e-43,-2.20981248727298,-1.76093600882352,TRUE,TRUE
H3F3A,Overlap,3.2771135625675e-7,1.6707323479617098e-44,-8.00221862714421,-1.31202837708394,TRUE,TRUE
RPS19,Overlap,2.3314560977471e-5,1,-0.941707905330911,-0.22255193291608,TRUE,FALSE
TALAM1,Overlap,3.05875390079103e-5,2.2062228651313096e-31,5.44028934322752,4.67459572506532,TRUE,TRUE
H2AFZ,Overlap,4.90792805480932e-5,2.2173447139727e-25,-6.1502886592827,-1.2432703815373,TRUE,TRUE
RASGEF1B,Overlap,9.38845103496448e-5,0.0262884057701866,3.59067617762368,2.48725630361501,TRUE,TRUE
HIST1H4C,Overlap,1.3029593794969e-4,1.6105076854359802e-15,-6.47561665808282,-1.40315925104998,TRUE,TRUE
DNAJB1,Overlap,1.3995103623441e-4,1,2.28793075284431,2.31599086360812,TRUE,FALSE
HIST1H1E,Overlap,2.0428502634442e-4,1.78166545286037e-11,-6.32698776527925,-1.80184961715633,TRUE,TRUE
LINC-PINT,Overlap,2.8257624940019e-4,1.9848963565760197e-11,4.38265698328102,3.12597500026562,TRUE,TRUE
FTH1,Overlap,8.3167347897557e-4,1,1.25359107324886,-0.202576598063279,TRUE,FALSE
RPL36,Overlap,8.5935626965622e-4,1,-0.910860929184091,-0.281279229720703,TRUE,FALSE
YPEL3,Overlap,9.3321521984257e-4,0.00191497718266015,-1.13228395708508,-0.469330201167904,TRUE,FALSE
ATP5MD,Overlap,0.00155860748975732,9.28797161965432e-24,-6.18465302748243,-1.4355223471641,TRUE,TRUE
RSAD2,Overlap,0.00177750992897294,1,3.62029582536318,1.69840073834169,TRUE,FALSE
SLC9A3R1,Overlap,0.00202582808241266,2.65834834775744e-8,-5.56846586402402,-0.458784065531472,TRUE,FALSE
ZEB2,Overlap,0.00245053413577628,1,2.7123323863572,1.10306350113811,TRUE,FALSE
ENSG00000289901,Overlap,0.00389887569175696,1.3170477315198698e-30,4.39708870820775,4.35647156484914,TRUE,TRUE
SAT1,Overlap,0.00582805927761336,1,2.15358128037494,0.639880482648401,TRUE,FALSE
LMNA,Overlap,0.00650462760396135,7.06702203235699e-7,3.39567900026065,2.92874693307138,TRUE,TRUE
CHASERR,Overlap,0.00672384879660099,2.9100325248614597e-18,4.73717605071662,4.70745696936094,TRUE,TRUE
VEGFB,Overlap,0.00776848233170401,1.8971667583139202e-14,-3.94546171172547,-1.49174256467961,TRUE,TRUE
AL138963.4,Overlap,0.00795929158306076,3.25522676476353e-11,-5.18782376487231,-4.78672516971884,TRUE,TRUE
ZFP36,Overlap,0.00989923446350317,1,1.88956570714207,1.12563591506705,TRUE,FALSE
ATP5MK,Overlap,0.0102430271037768,4.27729177480158e-9,5.22140640789459,3.52054995224161,TRUE,TRUE
CRIP1,Overlap,0.0117899658597872,2.6315030456177896e-30,2.74910042499449,2.59512683964739,TRUE,TRUE
AC004687.1,Overlap,0.0151164632560629,1.30953725338222e-8,-5.70237780795299,-1.29921344336663,TRUE,TRUE
H1FX,Overlap,0.0227196072678935,2.88372724828635e-29,-6.8518881407504,-2.37795603662978,TRUE,TRUE
