"Comparison","Module","CD8_Annotation","cohens_d","p_value","p_adj","star"
"Suppressed vs Unsuppressed","Exhaustion","TEM CD8",-0.701033780805027,5.7483926303291e-11,2.01193742061519e-10,"***"
"Suppressed vs Unsuppressed","Exhaustion","TEMRA CD8",-0.43617402071943,1.57135623285375e-19,3.29984808899288e-18,"***"
"Suppressed vs Unsuppressed","Exhaustion","CD16+ Effector CD8",-0.209400408580117,0.0384060379619235,0.0537684531466929,""
"Suppressed vs Unsuppressed","Stemness","TEM CD8",0.0820890809431354,0.33507503763417,0.413916222959858,""
"Suppressed vs Unsuppressed","Stemness","TEMRA CD8",0.246074099352334,2.53419036252724e-06,6.65224970163401e-06,"***"
"Suppressed vs Unsuppressed","Stemness","CD16+ Effector CD8",0.313070857027854,0.0556426232987958,0.0730309430796695,""
"Suppressed vs Unsuppressed","Cytotoxicity","TEM CD8",1.0097135171081,2.40424494077218e-18,1.68297145854053e-17,"***"
"Suppressed vs Unsuppressed","Cytotoxicity","TEMRA CD8",0.163682773388187,0.00180986429169039,0.00377149878906816,"**"
"Suppressed vs Unsuppressed","Cytotoxicity","CD16+ Effector CD8",-0.0267793818599284,0.467484729277513,0.545398850823765,""
"Suppressed vs Unsuppressed","Stress_IFN","TEM CD8",-0.262297453993953,0.0362665717890893,0.0537684531466929,""
"Suppressed vs Unsuppressed","Stress_IFN","TEMRA CD8",-0.435409178144237,5.03542205297695e-11,2.01193742061519e-10,"***"
"Suppressed vs Unsuppressed","Stress_IFN","CD16+ Effector CD8",-0.356154531006507,0.00197554698474999,0.00377149878906816,"**"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEM CD8",0.494844885695924,0.00914961094557481,0.0160118191547559,"*"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEMRA CD8",0.499170910637614,9.61765349308407e-19,1.00985361677383e-17,"***"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","CD16+ Effector CD8",0.678771849413908,3.88424854361906e-07,1.16527456308572e-06,"***"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEM CD8",0.0296976669013684,0.576666445517263,0.637368176624344,""
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEMRA CD8",-0.343883764145806,2.63421395454334e-13,1.38296232613525e-12,"***"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","CD16+ Effector CD8",-0.167455511047283,0.860235256589147,0.860235256589147,""
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEM CD8",0.279389132909653,0.0144548851870528,0.0233501991483161,"*"
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEMRA CD8",-0.163719021763613,0.000117763296672795,0.000274781025569855,"***"
"Suppressed vs Unsuppressed","Terminal_Differentiation","CD16+ Effector CD8",-0.0151788286372209,0.689994082107999,0.724493786213399,""
"Suppressed vs Pre-ART","Exhaustion","TEM CD8",-0.80440166970339,6.22189380455537e-12,2.17766283159438e-11,"***"
"Suppressed vs Pre-ART","Exhaustion","TEMRA CD8",-0.373743572894184,1.84887281071494e-17,9.70658225625345e-17,"***"
"Suppressed vs Pre-ART","Exhaustion","CD16+ Effector CD8",-0.660085430123834,0.00110313024556709,0.00210597592335536,"**"
"Suppressed vs Pre-ART","Stemness","TEM CD8",0.314621623161644,0.00586539267677283,0.00947486509324843,"**"
"Suppressed vs Pre-ART","Stemness","TEMRA CD8",0.116951908230333,0.0983219914058392,0.129047613720164,""
"Suppressed vs Pre-ART","Stemness","CD16+ Effector CD8",0.138601212939026,0.59959217786017,0.629571786753178,""
"Suppressed vs Pre-ART","Cytotoxicity","TEM CD8",0.198691651074462,0.051716404175526,0.0775746062632891,""
"Suppressed vs Pre-ART","Cytotoxicity","TEMRA CD8",-0.77457450552258,4.08239034327137e-74,4.28650986043494e-73,"***"
"Suppressed vs Pre-ART","Cytotoxicity","CD16+ Effector CD8",-0.691964009810632,6.54803232335418e-06,1.52787420878264e-05,"***"
"Suppressed vs Pre-ART","Stress_IFN","TEM CD8",-0.112892553943306,0.162461486347793,0.200687718429627,""
"Suppressed vs Pre-ART","Stress_IFN","TEMRA CD8",-0.138444510544003,2.7748784764126e-06,7.28405600058308e-06,"***"
