"","CD8A","CD8B","CD3D","CD3E","CD3G","TRAC","TRBC1","TRBC2","CCR7","SELL","TCF7","LEF1","BACH2","IL7R","BCL2","S1PR1","KLF2","FOXP1","SATB1","GZMB","GZMA","GZMH","GZMK","GZMM","PRF1","GNLY","NKG7","KLRG1","CX3CR1","FGFBP2","FCGR3A","TBX21","EOMES","RUNX3","PRDM1","ZEB2","ID2","TOX","TOX2","PDCD1","HAVCR2","TIGIT","LAG3","CTLA4","ENTPD1","CD160","CD244","CD27","CD28","BCL6","CXCR5","MKI67","HLA-DRA","HLA-DRB1","CD38","FAS","ICOS","TNFRSF9","CXCR6","CD69","ITGAE","ITGA1","ZNF683","TRDV1","TRDV2","TRGV9","TRDC","TRGC1","TRGC2","TRAV1-2","SLC4A10","KLRB1","ZBTB16","RORC","TYROBP","KLRD1","KIR2DL3","KIR3DL1","NCAM1","KLRF1","KLRC1","KLRC2","ISG15","IFIT1","IFIT2","IFIT3","IFI44L","MX1","OAS1","STAT1","IRF7","HSPA1A","HSPA1B","HSP90AA1","DNAJB1","IFI27","CCL3","CCL4","CCL4L2","CCL5","XCL1","XCL2","IFNG","TNF","CSF2","B3GAT1","CD4","FOXP3","IL2RA","IKZF2","GATA3","MAF","CD19","MS4A1","CD79A","CD79B","PAX5","NCR1","NCR3","SPON2","CD14","LYZ","S100A8","S100A9","VCAN","FCN1","LILRA4","CLEC4C","TCF4","IL3RA","PPBP","PF4","GP9","HBB","HBA1","HBA2"
"Naïve CD8",68.71,82.46,92.85,94.52,73.57,47.97,46.7,80.62,97,94.06,95.87,95.25,73.75,96.47,18.56,70.2,87.17,88.64,62.45,0.46,11.8,0.13,16.83,68.54,6.92,1.71,10.71,10.13,0.04,22.82,0.1,0.33,3.77,45.89,0.39,1.56,18.87,19,1.61,0.29,2.54,1,2.46,1.37,0.47,0.23,0.5,74.84,27.06,15.91,1.01,0.26,0.64,1.36,11.2,8.49,30.49,0.07,0.17,45.22,30.7,7.88,0.16,1.84,0.13,0.6,0.73,0.94,3.41,6.34,0.39,2.88,0.26,0.1,0.7,0.96,0.03,0,0.06,0.13,0.46,10.02,32.13,6.35,6.24,6.21,16.13,28.42,8.82,44.62,32.93,9.22,3.73,73.94,50.6,1.07,0.79,1.91,0.79,11.05,0.07,0.1,0.44,0.5,0.04,0.01,1.57,0.43,0.41,36.08,17.2,0.88,0.11,0.19,11.68,3.03,0.07,0.04,4.34,7.64,0.11,0.49,0.39,0.59,0.1,0.16,0.01,0,3.41,0.97,0.87,0.3,0.11,3.88,0.24,0.2
"Naïve CD8 (innate-like)",78.09,91.44,94.57,97.25,65.03,57.49,47.63,76.52,95.95,93.66,97.89,94.35,63.17,90.37,16.2,46.33,68.14,87.57,64.65,0.15,20.38,0.05,17.63,74.22,5.96,1.3,12.3,8.79,0.05,50.48,0.18,0.59,2.47,52.85,0.41,0.71,17.14,21.12,1.3,0.2,2.75,0.13,3.01,1.1,0.18,0.13,0.82,85.15,20.38,22.41,0.89,0.31,0.79,1.17,21.65,11.95,28.94,0.05,0.15,53.87,37.01,5.07,0.05,2.7,0.13,0.56,0.43,1.43,4.08,5.65,0.23,4.46,0.08,0.03,1.27,0.61,0,0,0.03,0.08,0.2,11.95,37.32,5.99,10.24,8.74,26.74,24.25,7.69,55.55,38.72,6.85,3.18,61.84,48.12,1.15,6.62,6.27,2.5,9.86,0.08,0.08,0.43,0.51,0.28,0,0.1,0.15,0.13,37.39,17.55,1.22,0.05,0.1,7.87,3.23,0.1,0.03,1.78,8.35,0.43,0.84,0.25,1.94,0,0.05,0,0,3.77,0.82,0.48,0.13,0,2.5,0.23,0.2
"Naïve CD8 (post-ART)",51.45,54.4,80.86,76.49,52.18,31.14,44.98,70.34,92.98,69.78,88.18,88.62,88.68,93.29,38.22,56.37,77.54,90.83,46.03,1.05,3.63,1.05,10.15,41.91,4.92,2.52,8.12,5.29,0.37,6.83,0.37,0.68,2.28,54.4,0.92,4.55,21.48,8.18,2.28,0.55,2.03,1.35,1.6,1.17,0,0.49,0.43,44.55,22.28,12.74,0.62,0.18,0.74,1.48,10.15,16.62,25.05,0.43,0.12,69.23,31.38,8.62,0.68,1.05,0.06,0.62,0.68,0.25,3.82,3.69,0.18,2.46,0.43,0.06,0.8,2.34,0.06,0.06,0,0.25,0.49,8.92,31.63,10.65,7.26,11.38,18.65,35.82,9.78,38.4,33.54,15.69,14.71,75.88,55.14,0.92,1.6,3.14,2.03,12.98,0.12,0.43,0.18,0.98,0.12,0,0.25,0.18,0.43,27.02,22.95,0.43,0.12,0.06,5.78,0.86,0.43,0.12,2.03,3.38,0.12,0.25,0.12,0.18,0,0,0.06,0,2.34,1.35,1.35,0.74,0.31,5.23,0.37,0.31
"Transitional Tem CD8",89.25,59.55,85.88,83.32,68.98,40.31,52.96,80.4,36.21,32.04,60.86,27.43,51.28,50.55,11.56,49.89,69.64,47.26,23.99,40.45,29.99,40.82,24.73,74.91,50.04,58.23,80.18,22.82,15.44,52.82,14.34,29.77,25.9,72.13,8.85,68.98,26.12,27.58,2.56,8.71,13.39,30.07,27.51,3.73,2.05,4.75,5.71,34.75,11.7,18.14,1.39,0.95,22.09,40.75,26.26,13.46,15,7.53,3,49.96,31.24,7.53,22.24,6.22,1.02,10.46,3.37,3.73,30.65,3.07,0.51,6.58,0.8,0,9.95,55.52,6.95,2.85,0,1.24,7.83,34.24,44.11,9.22,10.53,7.68,14.48,31.82,19.6,34.46,38.62,13.09,6.22,79.88,43.82,6,3.73,32.19,12.07,85,3.8,7.83,4.97,1.61,0,0.73,0,0.29,0.07,36.36,27.51,4.68,0,0.29,2.78,1.39,0.07,9.88,8.78,20.85,0,0.22,0.37,0.66,0,0.15,0,0.07,0.73,0.44,2.78,1.39,0.37,3.58,0.07,0.22
"Effector CD8",89.33,71.11,91.97,85.28,83.99,46.08,51.13,81.67,9.4,11.38,30.2,2.6,16.75,7.98,7.31,36.92,68.05,44.2,8.55,79.73,54.34,80.72,17.89,77.55,84.5,81.96,99.37,32.04,29.48,84.12,27.05,41.63,42.32,77.34,22.15,83.34,28.6,41.73,1.71,15.78,21.71,38.63,45.3,4.73,5.22,5.13,12.42,27.29,5.85,9.71,0.99,4.16,34.19,64.71,41.56,16.94,12.35,9.04,5.26,43.7,31.66,9.71,17.97,5.01,1.35,13.33,3.15,5.34,35.69,4.24,0.44,11.7,0.63,0.06,10.41,67.5,8.45,4.52,0.21,1.44,7.2,27.96,43.74,12.84,14.17,13.39,18.75,34.23,28.93,43.17,40.8,18.2,10.43,83.42,38.9,9.71,10.9,64.05,27.22,99.18,1.8,6.06,13.73,2.79,0.02,2.07,1.29,0.19,0.11,27.71,23.93,6.82,0.06,0.19,1.1,1.18,0.04,14.15,2.94,34.72,0.13,0.46,0.55,0.76,0.06,0.02,0.02,0.02,0.7,0.27,2.24,1.27,0.42,5.01,0.44,0.34
"Terminal TEMRA CD8",93.02,68.25,91.38,80.88,83.97,39.75,48.67,74.83,1.97,8.98,12.9,1.68,11.78,2.17,5.5,38.83,72.33,39.91,5.46,98.06,55.64,95.03,3.62,66.47,90.72,98.35,99.9,29.12,42.42,94.31,38.5,48.21,28.13,71.73,25.8,84.83,35.83,30.14,0.56,8.59,24.12,21.26,40.47,3.06,0.79,1.58,11.02,11.65,0.3,10.6,0.79,0.39,20.57,56.86,29.68,13.2,4.54,5.13,0.63,42.32,21.85,4.08,26.59,5.1,0.49,13.2,2.3,5.92,33.43,2.67,0.26,16.09,0.69,0,14.18,81.93,8.29,4.57,0.23,1.81,11.75,26.75,36.29,16.52,18.39,18.26,14.41,31.79,28.83,38.57,38.47,16.49,8.36,80.45,30.83,5.59,8.95,69.1,23.1,99.64,0.63,1.25,12.01,3.19,0,5.26,0.16,0.13,0.03,18.89,19.51,6.05,0,0.03,0.59,0.79,0.1,13.39,2.17,43.4,0.2,0.3,0.2,0.49,0.1,0,0,0,1.41,0.2,0.99,0.59,0.16,5.1,0.46,0.39
"KIR+ innate-like CD8",76.93,45.47,88,79.47,71.2,27.6,50,77.2,2.53,16.8,37.87,5.2,28.8,4.13,7.33,39.33,66.4,40.8,10.53,93.07,52.93,86.93,7.33,78.53,91.6,98.13,99.87,14.93,28.53,86.53,48.4,49.33,30.93,82.4,25.6,85.87,41.07,28.4,0.53,4.27,40.4,36.93,44.13,0.67,1.73,6,24.53,5.33,0.67,14.93,0.53,0.8,21.73,52,40.67,12.13,0.4,16,0.53,44.13,22,3.87,21.2,25.47,2.53,11.6,12.53,3.87,47.07,0.67,0.4,7.87,0.93,0,54.13,90.67,16.67,64.4,1.47,11.07,6.8,70.8,43.87,12.8,17.6,16.13,20.93,31.6,22.4,30.4,44.27,15.07,7.6,85.07,27.47,4,10.27,62.27,16.93,98.67,5.07,7.33,10.93,3.33,0,4.67,0.13,0,0,63.33,24.67,4.13,0.13,0,0.93,0.67,0,27.87,10.93,40.13,0,0.4,0.4,0.8,0.27,0,0,0,0.67,0,2.13,1.47,0.67,4.8,0.67,0.53
"MAIT-like Trm",70.42,14.08,83.8,84.51,51.41,37.32,45.77,68.31,32.39,23.94,71.83,7.04,59.86,92.96,11.27,41.55,47.18,56.34,46.48,47.89,67.61,26.76,71.83,76.76,70.42,69.72,94.37,45.07,0,7.04,1.41,23.94,18.31,66.9,21.13,54.23,34.51,12.68,1.41,8.45,8.45,1.41,35.21,6.34,0.7,4.93,1.41,27.46,23.24,24.65,0.7,0,7.04,11.97,7.04,17.61,11.27,6.34,40.14,77.46,42.25,4.93,0,0,11.97,18.31,5.63,4.23,21.13,40.14,26.06,90.85,43.66,18.31,9.86,50,0,0,2.11,2.82,17.61,4.23,52.11,6.34,8.45,8.45,23.94,27.46,13.38,33.8,42.96,20.42,9.86,84.51,53.52,1.41,4.93,43.66,11.27,89.44,0,2.82,5.63,19.01,0,0,0.7,1.41,0.7,16.9,42.25,39.44,0.7,0,0.7,2.11,0.7,1.41,35.21,13.38,0,0,0.7,2.82,0,0,0,0,0.7,0,2.11,1.41,0.7,2.82,1.41,0
"TRDV1+ γδ T cell",44.76,11.62,79.51,71.95,66.05,14.25,72.02,83.08,3.99,8.36,31.28,2.29,28.02,4.37,10.06,37,67.3,41.78,10.68,89.74,45.15,82.98,4.33,70.98,88.25,95.01,99.58,21.01,27.29,84.22,42.65,49.1,33.15,79.54,28.68,89.94,41.68,38.97,1.01,8.67,38.59,38.18,43.69,1.46,2.88,6.69,25.76,4.37,0.66,18.17,0.69,0.76,24.06,51.94,41.02,13.04,1.8,14.98,1.35,53.26,24.45,3.88,12.31,41.44,6.69,21.5,30.31,6.14,47.3,0.07,0.28,15.81,2.81,0,31.76,86.55,28.61,14.08,2.36,10.58,17.09,51.18,41.37,11.96,16.02,14.18,26.32,35.09,25.76,38.49,45.91,23.34,15.01,86.65,35.3,7.8,18.9,65.81,26.91,97.47,3.57,9.99,13.7,3.57,0,4.09,0.24,0,0.24,60.33,25.8,7.14,0.14,0.17,0.59,1.87,0.07,28.09,6.8,50.87,0.17,0.35,0.21,0.52,0.1,0,0,0.03,0.59,0.28,1.7,0.76,0.17,7.66,0.62,0.55
"Naïve-like TRDV1+ γδ",4.73,4.3,83.66,79.57,54.19,30.75,59.78,75.48,75.7,61.29,89.89,86.45,71.61,90.11,16.99,65.16,70.11,66.67,36.56,0.65,3.44,0,17.42,48.39,4.73,6.24,15.91,15.7,0,7.96,0,4.3,5.59,64.3,0.86,13.98,22.58,28.39,4.73,2.8,1.94,2.37,2.8,1.08,0.22,0,1.94,55.48,20.22,22.15,2.37,0.86,2.37,2.37,5.59,15.7,19.78,1.29,0.65,54.41,31.61,10.54,6.02,42.8,6.02,7.31,39.14,5.81,28.17,1.29,0.22,5.38,1.08,0,2.37,10.75,2.58,0.65,0,0.22,0.65,14.19,41.08,9.68,8.82,8.39,20,37.2,12.47,38.71,39.78,9.68,7.31,73.12,47.1,2.15,2.58,3.87,1.08,27.53,2.37,0.86,1.29,0.65,0,0.22,2.58,0.43,0.65,57.42,23.44,0.65,0,0.22,9.89,2.37,0.22,1.29,10.11,4.95,0,0.65,0.22,0.86,0,0,0,0,2.15,0.22,0.65,0.22,0,5.59,0.22,0.22
