"","Naïve.CD8","Naïve.CD8..innate.like.","Naïve.CD8..post.ART.","Transitional.Tem.CD8","Effector.CD8","Terminal.TEMRA.CD8","KIR..innate.like.CD8","MAIT.like.Trm","TRDV1..γδ.T.cell","Naïve.like.TRDV1..γδ","Vγ9Vδ2.γδ.T.cell"
"ISG15",0.929119802668449,0.9110445600381,1.23124347007502,2.13734108435107,2.47012818445627,2.37331083860476,2.48302925471487,4.55482867774977,2.29895892874978,1.76696633564997,2.59089638293768
"TNFRSF9",0.00145099260770958,0.000850227218090733,0.00957961720170331,0.257401630351008,0.293157369285989,0.179848670391339,0.612952304704469,0.159945443906691,0.582905087393453,0.0505900275124713,0.368262397004147
"RUNX3",1.24343865636305,1.52593158784287,1.7952237653631,3.66461751190067,4.5027284202167,4.46464802134949,5.09367296570319,2.62062853735725,4.92405885681571,2.53794298810598,3.12614095854892
"ZNF683",0.00547621464879143,0.000482754016119671,0.0965590574398035,1.52179237055227,1.38487571146528,2.00811917124604,1.19190640970296,0,0.752895900655916,0.45122736903541,0.261311634917289
"IFI44L",0.422521218679296,0.793028667997273,0.488667633582723,0.474011162652847,0.710536545596651,0.619454268557334,0.786304858062661,0.733048944553595,1.08834144246122,0.661836163547344,0.674360847710541
"S1PR1",2.43929206439253,1.28818240331794,1.99622298225963,1.97543242121259,1.39495663461893,1.68478440947753,1.58152946338031,1.16244189389521,1.39341315659121,2.84333349526225,1.44013761297489
"CD160",0.00369103769320132,0.00206810572111672,0.00776827463075355,0.12083638484697,0.143329977525161,0.0564840306109788,0.151903153278096,0.114945849677177,0.204606247384268,0,0.197769853042441
"S100A9",0.0119820437079388,0.0424148327822156,0.00538095196485047,0.0204962394708207,0.0255808733391274,0.016787172092688,0.0251520108011364,0.0551910508298312,0.0132546364228347,0.0254578543933843,0.0266705558686534
"S100A8",0.0074000289420348,0.00510334896795137,0.00189897678105119,0.0120043537722818,0.0159686192963157,0.00754324261288429,0.0101817060238939,0.0122346308567178,0.00698502389775284,0.00794435771853935,0
"CD244",0.00903369944025025,0.014981234395453,0.00821888236116885,0.140223640175227,0.348001494517434,0.349631908013442,0.735809453574051,0.0229534234946966,0.788710121862448,0.0404206234400197,0.224050544342867
"FCGR3A",0.00169342979267341,0.00327576025283351,0.0175026670406429,0.608140202915734,1.21937730976127,1.82919020435612,1.99943970715031,0.0186796205813174,2.0232314254617,0,0.594222352851056
"XCL2",0.00740690906865966,0.00250715847036291,0.0301935689531262,0.337468715852112,0.305436041210257,0.06466228667074,0.374131279784304,0.0711778735384858,0.928307730555344,0.0366682102022645,0.139090910753714
"XCL1",0.00683837000616462,0.00277193033074279,0.0108218075751535,0.323729902649202,0.089391089382685,0.0227131033238977,0.207011323376828,0,0.281809757684539,0.246025061107128,0.0655756456265958
"SELL",9.19692401179921,7.46570707846045,3.6843920088142,1.38564337224989,0.462366159878352,0.377789727683747,0.695616853767765,0.74254254187271,0.32884330211886,4.17098301978753,0.885678497842978
"ID2",0.457458500829924,0.395699617245019,0.730544265131174,1.0282474947068,1.19948158168374,1.69389693528478,1.80502277283166,1.08129097103978,1.95317937047273,0.722853801918005,1.19222457552004
"GNLY",0.17912229337156,0.0892180376729861,1.17681107381243,66.6339170804462,80.3489412678256,106.166147169093,185.927468291244,26.7422837999433,123.02150163613,2.1715174764126,42.5806876243735
"CD8A",2.66074561215318,2.99367946295807,1.77476503699701,7.85109045952923,10.0900895104486,10.3091987051736,6.32688118081611,4.95008020101733,2.79253531471312,0.179863351470644,3.74391211373398
"CD8B",6.31061804826328,6.92632087841716,2.11825539453171,3.67815538002586,5.76048842185336,5.64342777749706,2.01692540713254,0.487916891395993,0.419623658651423,0.187086708106546,0.439229044685126
"ZEB2",0.0467391303651768,0.0174480792299696,0.140810634493219,4.92604247719816,7.84787947747176,8.2128510775191,8.7273338226475,2.40719695158335,10.2691603216547,0.574599168611774,5.75405979749917
"STAT1",1.67332705793223,6.70500831149142,1.33507049060034,1.32672923607476,1.75736297203963,1.7954772901016,1.18166543739855,0.915970908772525,1.5395946001512,2.76192482243009,1.56820820866679
"CD28",0.599835796185418,0.416710325059359,0.522940532319763,0.302024097756755,0.121080932616327,0.00760606349812447,0.0148621078352291,0.555137940454465,0.0165925219770973,0.537696672280434,0.317829748228164
"CTLA4",0.0306746131054631,0.022302793765846,0.0324282686201002,0.0819529768673153,0.11767450378015,0.0964883827057836,0.0180405617366616,0.165497737998947,0.0397778939798471,0.0561429211459709,0.0322560261855995
"ICOS",0.731144296129933,0.76870982164501,0.804832300831902,0.484117502487747,0.417548448374433,0.169435293307854,0.0117482812220292,0.343491792568404,0.0697417527271254,0.663336799696397,0.167437269053612
"IKZF2",1.01506443069378,0.950241145232986,0.861997047219696,1.77196754807478,1.38100972400924,1.14352566608964,3.21903587127564,0.465822589622576,3.4949128179369,2.78686885426594,1.84939427928479
