"","Naïve CD8","Naïve CD8 (innate-like)","Naïve CD8 (post-ART)","Transitional Tem CD8","Effector CD8","Terminal TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","TRDV1+ γδ T cell","Naïve-like TRDV1+ γδ","Vγ9Vδ2 γδ T cell"
"CD86",0.0161,0.0181,0.0359,0.0763,0.8522,0.0378,1,0.3059,0.6606,0,0.0031
"CD274",1,0.0052,0.0241,0,0.0028,1e-04,0,0,0.0028,0,0.0514
"TNFRSF14",0.1119,1,0.1206,0,0.0224,0.0172,0.0122,0.013,0.0286,0.1366,0.2133
"PVR",0.3636,0.454,1,0.8864,0.6233,0.5715,0.4337,0,0.9885,0.6966,0.4617
"NECTIN2",0.2735,0.5548,0.7673,0.2595,0.5862,0.3231,0.7027,0,1,0,5e-04
"CD47",0.5615,0.3704,0.4362,0.2268,1,0.2082,0,0.1566,0.0587,0.6747,0.298
"CD48",0.6941,0.4573,0.702,0.7996,0.226,0,0.0534,1,0.1263,0.8848,0.282
"CD40",0.3065,0.2115,0.1051,0.3397,0.2858,0.2634,0.015,0.005,0.1258,1,0
"CD40LG",0.0669,0.0385,0.3429,1,0.5321,0.0154,0.2158,0,0.4803,0,0.312
"CD52",0.3989,0.9145,0.5605,0.5221,0.2732,0.1446,0.0875,0.0363,0.6008,1,0
"CD3D",0,0.3789,0.0297,0.2015,0.4553,0.1748,0.5564,0.1043,0.8166,1,0.5271
"CD8A",0.5747,0.8082,0.6561,0.8199,1,0.6691,0.962,0.2549,0.5272,0,0.232
"NCAM1",0.0025,0,0.0068,0.3282,0.0137,9e-04,0.116,0.5808,1,0.0585,0.1629
"CD19",0.1422,0.3899,0.3446,0.1079,1,0.5769,0.4448,0.055,0.4092,0.2713,0
"CD33",0.004,1,0.0075,0.0081,0.7235,0.011,0.0609,0.0394,0.1774,0,0.0162
"ITGAX",0.3128,1,0.0173,0.1477,0.5021,0.196,0.609,0,0.5046,0.2354,0.4574
"HLA-A",0.1501,1,0.3062,0,0.1633,0.1318,0.1639,0.1069,0.3878,0.4087,0.1142
"CD45RA",0.9273,1,0.9188,0.905,0.7443,0.6653,0.7389,0,0.8597,0.7956,0.7698
"IL3RA",0.7546,0.0141,0,0.0111,1,0.0017,0.0037,5e-04,0.1457,0.0093,0.0038
"CD7",0.7786,0.7377,0.8241,0.8015,0.3614,0,0.7231,0.3611,0.5062,1,0.283
"ENG",0.3953,0,1,0.6412,0.5287,0.48,0.4219,0.9536,0.5818,0.5783,0.403
"ITGA6",0.2474,0.0924,0.069,0.3851,1,0.1336,0.0355,0,0.127,0.1637,0.0688
"CCR4",1,0.0118,0.0142,0.0249,0.0473,0.0091,0.0078,0.022,0.0328,0,0.0785
"CD4",0.9289,1,0.8729,0.2467,0.9547,0.7768,0.4102,0.0107,0.6904,0.9209,0
"CD44",0.1452,0,1,0.3239,0.3303,0.0339,0.0851,0.344,0.0188,0.1617,0.3425
"CD14",0.5493,1,0.4679,0.2685,0.5682,0.9702,0.161,0.8083,0.7757,0.1763,0
"FCGR3A",0.4059,0.3382,0.3285,0.1182,0.615,0.1495,0.6103,0,1,0.0036,0.5428
"IL2RA",0.2906,1,0.4915,0.0505,0.036,0.019,0.0613,0,0.0485,0.0586,0.0068
"CD45RO",0.109,0.4555,0,0.5059,0.9572,0.2646,0.1242,0.8005,0.0258,0.1942,1
"PDCD1",0.0157,0.0018,0,0.316,0.6413,0.1026,0.2243,0.3668,0.0725,1,0.0521
"TIGIT",0,9e-04,0.0039,0.0942,0.8123,0.1326,0.99,1,0.1659,0.0034,0.0349
"Mouse-IgG1",0.5451,0.4635,0.6736,0.3054,0.42,0.4306,0.4238,1,0,0.1758,0.2495
"Mouse-IgG2a",0.3852,0.5164,0.217,0.3647,0.6737,0.4046,0.4826,0,1,0.9468,0.3683
"Mouse-IgG2b",0.0118,1,0.0014,0,0.0038,0.002,0.0015,0.0032,0.0031,0.0018,9e-04
"Rat-IgG2b",1,0.0467,0.0165,0.0494,0.0289,0.0473,0.0267,0,0.0466,0.0146,0.227
"MS4A1",0.3104,0.2339,0.166,0.0571,0.4085,0.0256,0.4343,0,0.0738,1,0.0627
"NCR1",0.0013,0.9393,0.0545,0.3207,0.4164,0,0.5884,0.0724,1,0.0175,0.214
"PECAM1",0.7255,0.4445,0.3678,0.1714,1,0.0448,0.0219,0,0.0716,0.271,0.095
"MCAM",0.0089,0.4709,0.0014,2e-04,0.2192,0.0011,0.0827,0.0083,1,0,0.0161
"IGHM",0.1916,0.0825,0.0378,2e-04,1,0.3967,0.0246,0.0047,0.0087,5e-04,0
"CD5",0.7792,1,0.8137,0.7594,0.7956,0.5008,0.3305,0.3793,0.5955,0.7359,0
"CXCR3",0.2341,1,0.0394,0.2482,0.6359,0.1618,0.6243,0.0405,0.4641,0.2415,0
"CCR5",0.0013,0,0.0018,0.0293,0.0573,0.0079,0.0036,1,0.0179,0.002,0.6123
"FCGR2A",0.0233,0.0198,0.0058,0.0098,0.0476,0.0148,0.0338,0.0429,1,0.01,0
"CCR6",0.7212,0,0.9878,0.0195,0.0679,0.0091,0.0043,1,0.3618,0.0148,0.2458
"CXCR5",0.1362,0,0.1281,0.1517,0.6564,0.3246,1,0.0319,0.4673,0.0683,0.0571
"ITGAE",1,0.3014,0.4558,0.6961,0.4183,0.0057,0.0968,0.9483,0.1663,0,0.0795
"CD69",0.1512,0.0555,0.1378,1,0.2025,0,0.9507,0.7652,0.6855,0.2476,0.7486
"SELL",1,0.4353,0.5321,0.7202,0.5235,0.5281,0.3834,0,0.3997,0.9993,0.6982
"KLRB1",0.8278,0.4399,0.3477,0.0188,0.2692,0,0.5097,0.9396,0.4083,0.0133,1
"CTLA4",1,0.5013,0.1807,0.0344,0.3241,0.1799,0,0,0.9678,0.7018,0
"LAG3",0,0.0011,0.0141,0.157,1,0.0668,0.1524,0.2197,0.1636,0.02,0.0274
"KLRG1",0.0508,0,0.0146,0.5409,0.6032,0.3626,0.3261,1,0.4535,0.2943,0.8301
"CD27",0.9421,0.8608,0.7687,1,0.9594,0.0889,0,0.4772,0.3654,0.9088,0.4303
"LAMP1",0,0.1998,0.2149,0.0481,1,0.1426,0.0608,0.1968,0.1666,0.0683,0.0189
"FAS",0.0121,0.4825,0,0.2201,1,0.1037,0.5791,0.7039,0.3382,0.2787,0.5668
"TNFRSF4",1,0.984,0.8758,0,0.7551,0.7367,0.7711,0,0.5293,0,0.4201
"HLA-DRA",0.1831,0.1855,0.2767,0.1565,1,0.0647,0.1484,0.0018,0.1704,0.8883,0
"CD1C",0.0171,0.0149,1,0.0021,0.0582,0.1563,0.0231,0,0.0093,0.0156,0.0086
"ITGAM",0.0016,1,0.0129,0.006,0.0244,0.017,0.0343,0,0.064,4e-04,0.0139
"FCGR1A",0.0215,1,0.0079,0.0073,0.1311,0.0156,0.0174,0,0.0336,0.0148,0.0065
"THBD",0.1182,0.0194,0.0065,0.3713,0.7133,0.3665,0.4488,1,0.7439,0.6908,0
"CD1D",0.3941,0.058,0.3293,0.0437,1,0.382,0.2519,0,0.9734,0.2053,0.7111
"KLRK1",0.0822,0.373,0.1242,0.2049,0.2048,0.0214,0.8812,0.0018,1,0.2228,0
"CR1",0.513,0.555,0.506,0.2892,0.4219,0,0.0665,0.2353,0.254,1,0.0032
"B3GAT1",0.4352,0.009,0,0.0705,0.9064,1,0.9227,0.0026,0.9499,0.0248,0.5165
"BTLA",0.2614,1,0.0773,0.0336,0.1072,0.0346,0.0251,0.0509,0,0.2055,0.0107
"ICOS",0.4719,0.5471,0.2026,0.354,1,0.3184,0,0.1192,0.0518,0.1721,0.0313
"CD58",0.0113,0,0.0846,0.53,0.7707,0.4538,0.3939,0.8374,1,0.0238,0.5038
"ENTPD1",0.1809,1,0.0061,0.04,0.1493,0.0133,0.0068,0.0101,0.6573,0.0712,0
"CX3CR1",0.0443,0.0845,0.0174,0.0191,0.1662,0.7978,0.4012,0,0.6512,0,1
"CD24",0.1044,0.0158,1,0.0109,0.1119,0.0611,0.9899,0.1847,0,0.3066,0.021
"CR2",0.5012,0.8225,0.4957,0.1119,0.2998,0.1936,0.1843,0,0.398,1,0.2086
"ITGAL",0.0225,0,0.0532,0.3628,0.4604,0.4629,0.3944,0.4007,0.4633,1,0.3945
"CD79B",0.7163,0.1511,0.3749,0.0343,0.9461,0.2827,1,0,0.6153,0.0932,0
