"","ADGRG1","ANPEP","B3GAT1","BTLA","C5AR1","CCR4","CCR5","CCR6","CD101","CD14","CD163","CD19","CD1C","CD1D","CD2","CD22","CD226","CD24","CD244","CD27","CD274","CD28","CD33","CD36","CD38","CD3D","CD4","CD40","CD40LG","CD44","CD45","CD45RA","CD45RO","CD47","CD48","CD5","CD52","CD58","CD69","CD7","CD79B","CD81","CD82","CD83","CD86","CD8A","CD99","CLEC12A","CLEC4C","CR1","CR2","CTLA4","CX3CR1","CXCR3","CXCR5","DPP4","ENG","ENTPD1","FAS","FCER1A","FCER2","FCGR1A","FCGR2A","FCGR3A","GGT1","GP1BB","Hamster-IgG","HLA-A","HLA-DRA","HLA-E","Human-Ig","ICAM1","ICOS","IFNGR1","IGHD","IGHM","IGKC","IL2RA","IL2RB","IL3RA","IL4R","IL7R","ITGA1","ITGA2","ITGA2B","ITGA4","ITGA6","ITGAE","ITGAL","ITGAM","ITGAX","ITGB1","ITGB2","ITGB7","KIR2DL1","KIR2DL3","KIR3DL1","KLRB1","KLRD1","KLRG1","KLRK1","LAG3","LAMP1","LILRB1","MCAM","Mouse-IgG1","Mouse-IgG2a","Mouse-IgG2b","MS4A1","NCAM1","NCR1","NECTIN2","NT5E","OLR1","PDCD1","PECAM1","PVR","Rat-IgG1","Rat-IgG2a","Rat-IgG2b","SELL","SELP","SIGLEC1","SIGLEC7","SLAMF6","SLAMF7","TCR-AB","TCR-vA7.2","TCR-vD2","TFRC","THBD","TIGIT","TNFRSF13B","TNFRSF13C","TNFRSF14","TNFRSF4","TNFRSF9"
"Naïve CD8",3.5,2.81,2.84,6.34,1.48,2.7,0.37,1.61,20.73,2.83,2.47,4.07,3.67,0.77,98.23,3.85,1.64,0.54,1.97,88.12,0.07,26.78,5.88,2.94,41.06,93.76,5.88,2.94,0.23,93.76,94.09,97.39,14.62,27.93,99.19,97.59,33.2,0.8,3.18,95.46,0.3,9.23,0.19,0.11,3.81,94.06,29.96,4.8,4.87,21.85,36.53,0.47,0.09,0.46,1.24,24.05,2.23,3.67,3.93,0.67,0.2,3.95,1.31,2.98,2.03,3.1,0.73,41.11,2.63,6.69,1.78,8.98,34.24,1.21,3.93,1.04,0.73,1.66,2.06,3.3,1.17,53.04,11.1,2.71,3.74,40.84,1.6,8.25,69.93,3.57,7.78,5.2,71.68,40.31,0.81,2.1,3.53,2.11,1.93,2.65,3.14,1.2,2.95,0.06,6.12,1.17,0.81,1,1.06,2.74,1.71,0.16,57.69,1.33,0.3,35.11,0.88,0.87,1.11,0.86,99.44,2.26,1.07,7.68,25.68,0.17,52.48,9.33,3.55,2.9,0.7,2,0.13,2.55,1.48,0.34,7.69
"Naïve CD8 (innate-like)",2.9,4.13,2.67,15.89,3.03,2.39,0.1,0.74,42.69,3.31,1.58,6.65,4.74,0.38,99.9,4.25,3.16,0.43,1.25,85.1,0.08,48.29,6.04,2.62,73.13,97.71,1.45,2.78,0.28,97.68,99.34,97.58,36.7,30.67,99.67,99.85,49.41,0.92,2.65,99.59,0.13,16.68,0.25,0.1,2.19,99.97,32.45,4.58,3.44,27.48,47.5,0.31,0.05,2.78,0.41,45.72,0.66,2.85,19.79,0.71,0.59,3.62,0.97,2.55,6.34,2.19,0.71,58.18,2.83,18.93,2.24,6.98,65.03,2.42,5.32,1.1,1.04,0.79,2.73,3.77,0.66,59.27,15.51,2.42,3.69,50.56,1.5,11.41,82.76,4.08,2.83,8,72.98,40.6,0.41,3.01,2.06,4.61,1.1,4.05,9.02,1.45,6.21,0.13,7.39,1.04,0.79,0.89,0.69,2.14,2.24,0.25,74.07,1.91,0.2,51.02,1.02,1.07,0.79,0.87,99.59,2.14,1.68,4.18,47.15,0.92,59.09,7.34,3.11,11.67,0.38,2.29,0.08,2.34,10.93,0.53,15.41
"Naïve CD8 (post-ART)",3.94,3.51,3.75,2.28,0.8,2.28,0.74,1.72,29.78,2.46,2.71,5.66,5.23,1.23,99.88,6.4,3.57,0.37,3.2,90.09,0.06,27.32,6.22,3.02,45.23,97.78,2.52,2.4,0.31,97.78,98.58,98.46,1.85,29.54,99.94,99.63,55.14,2.22,13.91,98.89,0.37,22.34,0.18,0,4.92,99.69,30.77,7.08,1.72,35.75,56.49,0.18,0.06,0.25,1.91,29.23,4.98,5.23,2.83,0.86,0,4.25,1.85,2.4,1.11,3.51,0.92,48.25,3.57,3.82,0.37,7.45,34.15,1.23,3.94,0.98,0.55,2.03,2.03,3.14,0.18,35.63,15.02,3.26,4.18,80.06,1.6,5.23,90.95,3.14,8.68,5.97,92.25,51.88,0.37,1.48,4.62,1.35,2.89,4.8,3.88,2.52,11.69,0.12,4.86,1.17,0.62,1.35,1.42,3.08,1.29,0.37,69.54,0.8,0.12,37.11,2.15,0.86,1.23,1.05,72.25,3.14,2.22,6.09,43.94,0.18,56.86,9.6,2.34,5.85,0.68,0.8,0,3.94,1.23,0.31,2.09
"Transitional Tem CD8",38.84,3.44,19.46,0.95,0.8,4.46,3.66,1.1,18.14,2.27,2.78,4.61,3.95,0.44,97.29,5.27,6.51,0.22,42.79,58.6,0,16.68,8.56,5.71,40.82,95.25,2.34,2.85,0.37,94.37,97.29,60.28,17.85,18.65,96.78,78.42,40.75,9,15.07,80.47,0.29,39.43,0.15,0,6,100,94.59,7.75,1.83,10.61,8.49,0.07,0.15,0.73,2.19,4.1,3.66,7.68,21.21,0.66,0,4.32,2.56,7.39,3.07,6.73,1.1,41.84,7.46,2.85,0.22,26.77,18.95,2.12,3.51,0.51,0.15,2.85,3.29,2.93,0.07,11.7,17.12,7.02,6.95,82.66,5.63,9.07,98.83,6.58,20.19,32.41,98.54,25.09,7.02,6.73,6.07,2.27,34.6,43.6,4.61,4.46,5.56,0.22,5.34,0.95,0.59,0.8,1.1,4.17,3.22,0.15,18.07,0.95,2.56,14.56,1.76,0.73,1.02,0.8,80.98,8.19,2.05,8.78,73.23,0.37,45.5,6.51,2.71,5.63,1.68,13.75,0,3,0.44,0,3.88
"Effector CD8",63.74,6.21,36.47,2.22,1.33,4.84,6.38,1.46,30.33,2.26,3.1,5.01,4.71,0.74,93.37,5.36,7.81,0.34,57.44,30.26,0.13,6.23,13.71,6.82,56.71,93.73,7.37,4.27,0.32,88.85,95.25,51.34,25.11,21.22,92.63,67.35,21.82,9.86,12.69,58.78,0.42,40,0.38,0,10.83,93.47,91.3,14.49,2.24,10.37,6.69,0.23,0.78,0.97,2.34,3.06,3.13,12.52,29.61,0.76,0.08,6.31,3.63,11.11,2.03,8.09,1.01,49.29,13.98,4.73,1.18,22.39,15.78,2.85,3.53,1.44,0.95,2.07,4.71,3.86,0.59,1.9,17.06,9.06,8.89,76.18,5.05,8.89,97.97,5.66,26.95,40.06,95.84,18.12,5.79,9.1,6.31,2.6,27.98,41.01,4.54,4.29,5.93,0.38,4.9,0.84,0.95,1.1,1.44,3.42,2.24,0.3,4.14,1.31,6.34,12.71,1.46,1.08,0.8,0.84,30.41,10.98,3.32,12.52,61.41,1.27,61.03,7.75,4.37,6.04,1.58,20.21,0.06,3.51,0.59,0.36,1.1
"Terminal TEMRA CD8",85.62,4.54,98.49,1.65,1.48,3.65,0.99,1.38,23.96,2.83,2.57,5.69,4.51,1.09,92.07,5.1,7.21,0.46,51.63,12.73,0.03,1.48,8.36,4.38,44.42,94.74,2.37,2.7,0.16,89.67,94.54,72.16,11.45,18.89,91.05,62.32,15.86,8.03,9.51,52.32,0.26,36.66,0,0,6.38,99.77,93.62,8.06,2.67,5.36,7.27,0.2,2.76,0.3,1.84,1.28,2.76,4.97,20.01,0.72,0.16,4.8,2.07,18.3,0.89,4.77,1.18,47.68,5,4.05,1.05,12.31,6.25,1.81,4.31,0.69,0.72,1.97,5.5,3.42,0.66,0.99,14.08,4.54,5.07,74.66,1.91,3.22,98.39,5.26,21.59,49,96.41,5.59,7.63,11.22,6.02,3.69,37.87,43.3,2.3,3.19,4.44,0.26,4.87,0.79,0.99,1.09,0.95,4.01,2.2,0.26,3.98,1.09,3.88,5.89,1.32,1.09,0.86,1.25,34.55,5.53,1.68,8.13,64,0.49,64.96,6.78,3.32,2.3,1.25,11.68,0.13,2.53,0.82,0.39,0.16
"KIR+ innate-like CD8",88.53,5.87,68.8,0.4,0.4,5.2,1.73,1.07,12.8,2,3.73,7.07,5.07,1.07,83.47,5.6,3.73,0.67,70.13,10,0,2.4,10,2.93,59.87,94.8,3.6,1.73,0.4,84.53,95.73,88.8,3.2,12.4,93.87,17.2,17.07,8.53,9.07,79.33,0.8,36.13,0.27,0.27,6.4,89.33,91.87,8.53,1.87,8.27,8.27,0,1.07,0.8,2.67,0.53,3.87,5.6,21.07,0.93,0.13,5.73,2,43.2,0,4.8,0.67,39.33,6.53,2.27,1.33,21.2,2.13,3.47,4.8,0.93,0.8,2.4,9.73,3.87,0.27,1.87,17.33,4.27,2,86.13,0.8,4.8,98.53,6.4,58.93,25.2,97.47,7.07,22.93,18.8,99.87,3.33,68.67,37.73,4.93,5.6,4.8,0,5.2,1.2,1.07,0.93,1.33,12.67,7.2,0.8,3.87,1.47,1.33,4,1.6,0.93,1.33,1.2,54.27,3.73,2.53,9.2,66.13,1.2,39.47,7.47,4.4,3.33,2.13,13.6,0,3.87,0.4,0.53,0.67
"MAIT-like Trm",9.15,3.52,5.63,2.11,2.11,4.23,55.63,21.83,17.61,2.82,2.82,3.52,3.52,0.7,92.96,4.93,4.93,0.7,52.11,64.08,0,66.2,14.08,3.52,19.72,95.77,4.93,2.82,0,97.89,97.18,16.9,40.14,23.24,100,71.13,24.65,13.38,50.7,90.85,0,45.07,0.7,0,4.23,87.32,83.1,21.83,0.7,11.97,4.23,0,0,0.7,0.7,86.62,6.34,5.63,42.25,1.41,0,4.93,4.23,1.41,15.49,5.63,1.41,44.37,6.34,2.11,1.41,36.62,36.62,7.75,6.34,2.11,0.7,0,7.04,4.93,0,29.58,15.49,6.34,3.52,85.92,2.82,7.04,97.89,5.63,11.27,32.39,97.89,30.28,2.82,0,4.93,86.62,41.55,90.85,2.82,2.82,12.68,0,3.52,0.7,0,2.11,1.41,24.65,1.41,0,2.82,0.7,1.41,4.93,0.7,0.7,0.7,0,24.65,9.15,5.63,15.49,84.51,2.11,33.8,58.45,4.93,5.63,4.23,2.11,0,3.52,0.7,0,0.7
"TRDV1+ γδ T cell",82.49,7.56,60.02,0.52,0.9,3.12,0.94,1.7,20.67,2.6,3.29,6.03,5.62,1.42,83.6,5.51,3.78,0.28,80.62,9.02,0.07,1.87,18.17,2.01,53.16,88.28,4.2,3.09,0.21,84.64,94.59,91.61,2.08,11.62,93.31,19.14,16.44,10.71,10.4,79.26,0.66,42.72,0.45,0,9.26,55.31,90.98,18.48,1.35,12.69,6.8,0.17,1.18,0.49,2.67,1.07,3.64,10.4,22.82,0.97,0.03,7.7,3.71,39.01,0.69,3.81,0.69,47.64,8.43,2.57,0.28,23.65,2.74,4.44,2.84,0.8,0.31,2.36,9.29,4.51,0.1,2.12,14.56,3.95,2.84,85.61,0.97,4.23,98.61,9.6,72.33,23.47,97.47,9.08,16.09,23.68,8.81,5.62,53.02,37.66,5.2,4.99,6.03,1.11,4.89,0.73,1.07,1.35,1.04,10.3,8.5,0.45,3.36,1.32,1.46,4.96,1.91,1.14,0.45,1.04,29.26,3.88,3.68,18.03,64.74,1.11,6.73,4.75,6.07,3.64,1.7,17.51,0.03,4.23,0.55,0.49,0.28
"Naïve-like TRDV1+ γδ",3.87,4.09,2.58,3.87,1.29,1.94,1.08,1.29,4.52,1.72,2.8,6.67,4.09,1.29,97.42,6.24,0.86,0.43,8.82,87.1,0,29.25,7.31,1.51,25.16,89.03,9.46,3.87,0,94.84,95.7,87.96,8.82,29.89,98.92,96.56,52.69,2.15,11.4,96.77,0.22,21.08,0.65,0,2.58,18.06,69.89,5.38,3.66,48.39,54.84,0.22,0,0.43,1.94,7.53,3.23,3.23,13.55,0.22,0.22,3.87,1.29,2.8,0.22,1.51,0.22,55.7,3.23,6.02,0.65,20.43,25.81,1.51,6.24,0.43,0.86,2.15,3.87,4.3,0.65,45.59,21.72,1.51,1.72,62.15,2.37,4.09,92.9,3.23,11.18,7.96,85.16,39.35,1.72,3.01,4.09,1.94,7.74,11.61,3.87,1.94,7.1,0.43,3.66,0.86,1.29,1.08,0.86,3.44,2.8,0,58.28,0.65,3.23,25.81,1.72,0.22,1.51,1.08,78.06,2.37,2.8,6.45,53.98,0,12.04,6.88,4.52,9.46,1.72,1.94,0,3.44,1.51,0,8.82
