"","Naïve.CD8","Naïve.CD8..innate.like.","Naïve.CD8..post.ART.","Transitional.Tem.CD8","Effector.CD8","Terminal.TEMRA.CD8","KIR..innate.like.CD8","MAIT.like.Trm","TRDV1..γδ.T.cell","Naïve.like.TRDV1..γδ","Vγ9Vδ2.γδ.T.cell"
"CD86",0.189099151160827,0.21054785418122,0.418977331126662,1.03299960388986,2038.87046905828,0.442565966117492,7609.16146622473,14.7203292497964,369.341905898368,0.0304966288285026,0.0593911599880507
"CD274",0.638097782150631,0.0025614818095769,0.0119545537309317,0,0.00136523902950535,3.35133599703845e-05,0,0,0.00138944059734941,0,0.0256741839985221
"TNFRSF14",0.0066988493964449,0.0580368102535338,0.00719087264990838,0.000409947123010854,0.00166314514743735,0.00137552061502375,0.00109616689174196,0.00113928804539034,0.00201299762971545,0.00809315642564143,0.0124320650948771
"PVR",0.0038158138544429,0.00463615399720503,0.0096068408496,0.00857082092067914,0.00617521079668376,0.00570432973314187,0.00445264234543675,0.000522353295818292,0.00950230026999197,0.00684179523241375,0.00470689070688028
"NECTIN2",0.000376710547536531,0.000764200122675984,0.00105713427082211,0.00035737170802696,0.000807493392403244,0.000444967240711491,0.000967990152506246,0,0.00137786950102127,0,7.4763180596027e-07
"CD47",0.783722184269763,0.531563162126156,0.614086612612578,0.365796732255889,1.53054846754038,0.345703732217376,0.139804594010451,0.291448474101022,0.19443069754981,0.952220658845054,0.445630262547767
"CD48",107.772285894489,48.5881393803869,110.62409453359,153.298745058138,22.0275369672391,9.88168500558123,11.9921469607952,298.951670015674,15.5447116289528,203.700749991323,26.7287906255825
"CD40",0.0622116368488494,0.0438409326839588,0.0236599040661051,0.0687083930008999,0.0581717912610015,0.0538324867693252,0.00688742886463991,0.00502617037890103,0.0275565574170571,0.206371830513078,0.00411036412709506
"CD40LG",0.00277501238798443,0.00159766595678457,0.0143060041702697,0.0422900717242349,0.0222826486365923,0.000638864398969303,0.00897940447245386,0,0.0200915301434062,0,0.0130055611846001
"CD52",1.34454990814429,3.69605170254586,1.9148221299362,1.76796844387279,0.979498565402574,0.664556608603529,0.541359398449851,0.438662826985874,2.07747973328131,4.26959910522907,0.369922106514302
"CD3D",241.167540556486,2123.12973349218,286.03318009471,767.677036149864,3290.66871222352,658.379466017452,5872.49111521401,439.375759323439,26099.8017761326,74663.0234662063,4966.63572844566
"CD8A",984802904585.521,455049500286353,8355524145943.43,619730650565745,70436980594970648,11773485825111.5,25959210617596996,220113419.725343,282644247928.308,270992.370220467,120525555.468776
"NCAM1",0.0992784098692025,0.0663956944237235,0.159127965051431,58.5556839383447,0.261358883534568,0.078387334264609,3.42166525659057,1316.01282727159,224289.596017129,1.18534131282104,6.853240048224
