"Analysis","Cluster","Comparison","OK","Reason","n_Expanding","n_NonExpanding","Latent"
"SplitBy_Cluster_T_Cell_A","CD8+ T_resting","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=9, Non_Expanding=4254",9,4254,""
"SplitBy_Cluster_T_Cell_A","NK_resting","Clonally_Expanding_vs_Non_Expanding",TRUE,"",210,56,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK-T_CD64+","Clonally_Expanding_vs_Non_Expanding",TRUE,"",1235,326,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK_activated","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=1, Non_Expanding=3",1,3,""
"SplitBy_Cluster_T_Cell_A","CD8+ T_memory","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=3, Non_Expanding=2134",3,2134,""
"SplitBy_Cluster_T_Cell_A","CD8+ T_naive_IL7R+","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=4, Non_Expanding=2848",4,2848,""
"SplitBy_Cluster_T_Cell_A","CTL","Clonally_Expanding_vs_Non_Expanding",TRUE,"",698,302,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","CD8+ T_naive","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=4, Non_Expanding=2782",4,2782,""
"SplitBy_Cluster_T_Cell_A","CD8+ T_memory_costim+integrin","Clonally_Expanding_vs_Non_Expanding",TRUE,"",30,1706,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK_bright","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=1, Non_Expanding=1",1,1,""
"SplitBy_Cluster_T_Cell_A","NK-T","Clonally_Expanding_vs_Non_Expanding",TRUE,"",624,166,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK-like_CD8+ T_PD1+","Clonally_Expanding_vs_Non_Expanding",TRUE,"",1220,434,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK_56low","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=1, Non_Expanding=1",1,1,""
"SplitBy_Cluster_T_Cell_A","CD8+ T_B-like","Clonally_Expanding_vs_Non_Expanding",TRUE,"",31,1404,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","γδ1 T","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=1, Non_Expanding=451",1,451,""
"SplitBy_Cluster_T_Cell_A","γδ2_CTL","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=12, Non_Expanding=180",12,180,""
"SplitBy_Cluster_T_Cell_A","NK-like_CD8+ T_KLRG1+","Clonally_Expanding_vs_Non_Expanding",TRUE,"",347,450,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","NK-like_CD8+ T_CCR6+","Clonally_Expanding_vs_Non_Expanding",TRUE,"",388,177,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","CD8+ T_effector_prog","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=15, Non_Expanding=1047",15,1047,""
"SplitBy_Cluster_T_Cell_A","CD4+ T","Clonally_Expanding_vs_Non_Expanding",TRUE,"",140,540,"nCount_RNA;Timepoint_Group;PID"
"SplitBy_Cluster_T_Cell_A","γδ2 T","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=0, Non_Expanding=106",0,106,""
"SplitBy_Cluster_T_Cell_A","NK-like_CD8+ T_KIR3DL1+","Clonally_Expanding_vs_Non_Expanding",FALSE,"Too few cells: Clonally_Expanding=201, Non_Expanding=21",201,21,""
