"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ENSG00000280441",4.32725503606929e-11,-7.73840070657184,0.026,0.304,9.69997488885292e-07,"ENSG00000280441"
"TRAV34",1.57601596185319e-09,-9.07758402732304,0,0.348,3.53279738009011e-05,"TRAV34"
"TRBV19",1.57601596185319e-09,-10.3931047804301,0,0.348,3.53279738009011e-05,"TRBV19"
"TRAV24",1.5944117818697e-09,-9.27400172011988,0,0.348,3.57403345023912e-05,"TRAV24"
"TRBV28",1.5944117818697e-09,-10.5984824905773,0,0.348,3.57403345023912e-05,"TRBV28"
"HCFC1R1",1.58221837909227e-07,-0.391694196571696,0.164,0.087,0.00354670071857324,"HCFC1R1"
"TRBV27",1.7470038758644e-07,-9.4434133259589,0,0.261,0.00391608388813763,"TRBV27"
"TRGV8",2.11583789529363e-06,-5.96150422363447,0.011,0.304,0.047428622260902,"TRGV8"
"TRBV20-1",3.75812553442795e-06,-7.46756001866658,0,0.217,0.084242141979737,"TRBV20-1"
"BICRAL",2.2546414216234e-05,-0.746695412141373,0.159,0.13,0.505400421071102,"BICRAL"
"RNF220",3.51790165373558e-05,-1.20732793463431,0.159,0.217,0.788572834701367,"RNF220"
"ZC3H4",3.94811754640994e-05,-0.5488118110357,0.106,0.043,0.885010029203253,"ZC3H4"
"ENSG00000257322",4.06069102435569e-05,-7.64079624421242,0,0.174,0.910244500019572,"ENSG00000257322"
"TRAV26-2",4.87659538351169e-05,-3.42041917607225,0.032,0.348,1,"TRAV26-2"
"RPL5",5.55257712923282e-05,-0.731199717003305,0.968,1,1,"RPL5"
"TRBV12-3",8.93751535089799e-05,8.79493325434766,0.36,0,1,"TRBV12-3"
"MTRNR2L12",9.46434585691749e-05,-2.94579705297559,0.053,0.391,1,"MTRNR2L12"
"ATP6V0E2",0.000110313725350939,-1.76012884363116,0.101,0.13,1,"ATP6V0E2"
"CREBZF",0.000145460304644154,-1.44422198185297,0.265,0.435,1,"CREBZF"
"TRAV13-1",0.000221528543396105,6.04199664321028,0.249,0,1,"TRAV13-1"
"RBFOX2",0.000311302917864321,-1.78251900806393,0.254,0.391,1,"RBFOX2"
"CYLD",0.000319729643246969,-0.421914430141485,0.265,0.174,1,"CYLD"
"CDC37L1",0.000356166514193696,-0.301354504237815,0.122,0.087,1,"CDC37L1"
