"CD8_Annotation","cloneSize","n","prop"
"KIR+ innate-like CD8","Medium (5 < X <= 20)",3,0.0101694915254237
"KIR+ innate-like CD8","Small (1 < X <= 5)",5,0.0169491525423729
"KIR+ innate-like CD8","Single (0 < X <= 1)",287,0.972881355932203
"MAIT-like Trm","Small (1 < X <= 5)",4,0.0506329113924051
"MAIT-like Trm","Single (0 < X <= 1)",75,0.949367088607595
"Naïve CD8","Small (1 < X <= 5)",9,0.00230179028132992
"Naïve CD8","Single (0 < X <= 1)",3901,0.99769820971867
"Naïve CD8 2","Small (1 < X <= 5)",2,0.00116686114352392
"Naïve CD8 2","Single (0 < X <= 1)",1712,0.998833138856476
"Naïve CD8 3","Single (0 < X <= 1)",929,1
"Naïve Intermediate CD8","Single (0 < X <= 1)",2101,1
"TEM CD8","Hyperexpanded (100 < X <= 500)",79,0.0288110867979577
"TEM CD8","Large (20 < X <= 100)",263,0.0959153902261123
"TEM CD8","Medium (5 < X <= 20)",599,0.218453683442743
"TEM CD8","Small (1 < X <= 5)",735,0.268052516411379
"TEM CD8","Single (0 < X <= 1)",1066,0.388767323121809
"TEMRA CD8","Hyperexpanded (100 < X <= 500)",244,0.0858550316678395
"TEMRA CD8","Large (20 < X <= 100)",678,0.238564391273751
"TEMRA CD8","Medium (5 < X <= 20)",856,0.301196340605208
"TEMRA CD8","Small (1 < X <= 5)",606,0.213230119634061
"TEMRA CD8","Single (0 < X <= 1)",458,0.161154116819141
"Transitional Tem CD8","Hyperexpanded (100 < X <= 500)",9,0.0170454545454545
"Transitional Tem CD8","Large (20 < X <= 100)",45,0.0852272727272727
"Transitional Tem CD8","Medium (5 < X <= 20)",92,0.174242424242424
"Transitional Tem CD8","Small (1 < X <= 5)",93,0.176136363636364
"Transitional Tem CD8","Single (0 < X <= 1)",289,0.547348484848485
"Tscm CD8","Single (0 < X <= 1)",401,1
"γδ2 T cell","Large (20 < X <= 100)",1,0.0666666666666667
"γδ2 T cell","Medium (5 < X <= 20)",2,0.133333333333333
"γδ2 T cell","Small (1 < X <= 5)",3,0.2
"γδ2 T cell","Single (0 < X <= 1)",9,0.6
