"orig.ident","Epitope_Group","n","frac"
"CP002_entry","CMV",98,0.924528301886792
"CP002_entry","HIV",8,0.0754716981132075
"CP003_V12","CMV",20,0.377358490566038
"CP003_V12","CMV_HIV",33,0.622641509433962
"CP003_V24","CMV",12,0.176470588235294
"CP003_V24","CMV_HIV",56,0.823529411764706
"CP003_entry","CMV",9,0.529411764705882
"CP003_entry","HIV",8,0.470588235294118
"CP006_12m","CMV_HIV",9,1
"CP006_V24","CMV_HIV",33,1
"CP011_entry","CMV",30,1
"CP013_12m","HIV",7,1
"CP020_V12","CMV_HIV",6,1
"CP020_V44","CMV",20,1
