"cluster_label","Epitope_Group","n","frac"
"0","CMV",51,0.289772727272727
"0","CMV_HIV",125,0.710227272727273
"1","CMV_HIV",9,1
"7","CMV_HIV",1,0.142857142857143
"7","HIV",6,0.857142857142857
"8","CMV",1,0.5
"8","HIV",1,0.5
"9","CMV",126,0.947368421052632
"9","HIV",7,0.0526315789473684
"10","CMV",2,0.666666666666667
"10","HIV",1,0.333333333333333
"17","CMV_HIV",2,1
"18","CMV",9,0.529411764705882
"18","HIV",8,0.470588235294118
